study,model_ID,model_type,outcome_var,outcome_description,outcome_measure,level_of_analysis,predictor_var,predictor_info,control,predictor_measure,effect_measure,effect_size,SE,p_value,t_value,z_value,recode,es_recoded,effect_direction,n_predictors,prop_male,age,group_size,risk_of_bias,covariate_1,covariate_2,covariate_3,covariate_4,covariate_5,covariate_6,covariate_7,covariate_8,covariate_9,covariate_10,covariate_11,covariate_12,covariate_13,covariate_14,covariate_15,covariate_16,covariate_17,covariate_18,covariate_19,covariate_20,covariate_21,covariate_22,covariate_23,covariate_24,covariate_25,covariate_26,covariate_27,covariate_28,covariate_29,covariate_30
"(Asgedom, 2015)",AsgedomDB_2015_01,Logistic regression,"1 stands for a group paid all installments on time until the survey took place, otherwise 0",defaulters are those group borrowers with minimum default for 91-180 days past due,1,2,1 if there is a penalty within the group for defaulting members,used as proxy for group pressure,0,1,8,52.06,NA,<0.01,NA,NA,0,52.06,positive,15,0.42,NA,4,medium,1 if the sample group borrower is male and 0 otherwise,1 if borrowers have other source of credit available and 0 otherwise,1 if group members know for what purpose the other members have used the loan,1 if group members know the monthly sales of the other group members,1 if groups have rules and regulation on how to run the group,1 if group members regularly visit other group members,1 if group members help one another in times of need,1 if group has ever rejected a borrower who would like to join the group,1 if members are willing to put pressure other members in to repaying,1 if the member feels anger against defaulting member,1 if group members knew the other group member/s before the group was formed,1 if group members born in the same area where the survey was held,1 if group member has ever been a member of another group,number of follow up and supervisory visits made by the DECSI loan officer,,,,,,,,,,,,,,,,
"(Bassem, 2008)",Bassem_2008_02,Logistic regression,"1 if the group succeeds in respecting his contract towards the lender, otherwise 0",External Delinquency replicated the second stage of the repayment decision when the repayment was due,1,2,1: will to make pressure to incite repayment,Used as a measure of peer pressure,0,1,1,-0.8119211,NA,<0.1,NA,NA,0,-0.8119211,negative,21,0.27,41.2,4.1,high,The average distance (in meter) between the member and the other group members,1 if the group has regulations and internal laws to reach there,1 if all group members have the same business,1 if the group members visit each other,1 if the member knows the other group members before the formation of the group,The length in number of year spent by the borrower in the same region,Length (in month) during which the borrower was member of his group to the deadline of the loan,1 if the group rejects a borrower who wants to join it,1 if the borrower and the leader of his group have the same age (+/-2 years),1 if all the group have the same sex,1 if the borrower and the leader of his group have the same level of education,Age of the group member (year),1 if the group member is female,1 if the borrower has at least 6 years of education,1 if the group member is married,1 if the group member has other sources of money,number of members in the group,1 if the MFI puts at the disposal of borrowers non financial services,1 if the borrower would have liked to borrow more than the assigned amount,"1 if the relation is very intimate, 0 elsewhere",,,,,,,,,,
"(Bumbie, 2013)",Bumbie_2013_01,Logistic regression,Group loan repaid on time,Payment on time for groups is as repayment together as a group to the Institution,2,2,group has internal code of conduct to punish a defaulting group member,Used as a measure of group pressure,0,1,1,2.433,NA,>0.1,NA,NA,0,2.433,ns,17,NA,,NA,high,Mean savings of all members from all 120 loan groups surveyed,group members pay to stay in good terms with each other,Group has ever rejected any interested candidate,Group existed before the emergence of the MFI,Group was formed by self-selection,Group was mostly composed of relatives,Half of the group were relatives,"Whether, in the event of default, members were able to obtain another loan from elsewhere","Whether, in the event of default, members were able to borrow from another member","Whether, in the event of default, members sought mediation within the group",Group met every week,Group met every two weeks,Group repaid loans every week,Group repaid loans every two weeks,Loan officer visited the group every week,Loan officer visited the group every two weeks,,,,,,,,,,,,,,
"(Noglo and Androuais, 2015)",NogloA_2015_01,Logistic regression,1 if a group had at least one late repayment and 0 if the group paid all installments on time up until the survey interview took place (over the last nine months),"Suvery question: In the last 9 months, is there any group member who has an outstanding debt?",1,2,1 if members apply social pressure on defaulters,"Used as a measure of group pressure. What we investigated in the field were: verbal abuse, confiscation of equipment, reporting to the local authorities, social ostracism or loss of reputation.",0,1,1,16.56,2.52,<0.01,NA,NA,1,-16.56,negative,12,0.75,,13.52,high,1 if at least one member has an informal source of credit,Number of years since the group took its first loan to the day the survey was conducted,1 if members are of the same sex,1 if members belong to the same ethnic group,1 if members are of the same religion,1 if members live in the same district and know each other before forming the group,1 if members have the same occupations,1 if the monthly visits between members are greater than or equal to 7,1 if the average distance between members businesses is greater than or equal to one km,Number of people in the group,1 if members have ever rejected someone who would like to join the group,,,,,,,,,,,,,,,,,,,
"(Postelnicu et al., 2019)",PostelnicuHS_2019_03,Logistic regression,"1 if the borrower mentioned encountering at least one repayment problem during the past two loan cycles, and 0 if the borrower reported no problems with repaying","we identify whether the borrower faced at least one of the following situations during the past two loan cycles: ‘I had to borrow money from someone else in order to repay at least one instalment’; ‘I had to withdraw my savings in order to pay at least one instalment’; ‘I quarrelled/had arguments/disputed with my spouse or other family members because of difficulties to repay the loan that I took’; ‘I had to sell some household assets to repay at least one of the instalments’; ‘I had to make personal sacrifices (eat less/withdraw children from school/neglect my health) to repay at least one of the instalments’; ‘Other problems’. [This measure] distinguishes borrowers who encounter problems to repay their loans from borrowers who do not experience problems repaying their loans. We select this variable to measure the repayment problems of borrowers, because all borrowers in our sample have a clean portfolio, that is, they always manage to find a solution to repay their loans. This suggests that problems with loan repayment borrowers are faced with are due to cash flow management problems, instead of failing to make the necessary repayments. ",1,1,1 if social santions were applied to defaulters,"This variable is aggregated from the following question: Suppose that someone from your group defaults, even though you suspect that s/he could repay her loan. What would be, in your view, the punishment that s/he deserves? (Multiple answers possible): 1 = To lose access to future credit from the actual lender; 2 = To lose access to future credit from the actual lender and any other alternative source of credit in the community; 3 = To be marginalized/excluded by the group members; 4 = To be marginalized/excluded from the community activities; 5 = To be marginalized/excluded together with her family; 6 = Other punishment. Please specify ___; 7 = No punishment. The variable we use in our empirical investigation takes the value 0 if the borrower gave the answer 7, and 1 otherwise... Used as a measure of the perceptions of a borrower with respect to loan enforcement in cases of repayment problems on the part of a peer",1,1,1,-2.648,0.698,<0.01,NA,NA,1,2.648,positive,18,NA,NA,11.07,medium,number of ties an individual outside the group has with two members of the same borrowing group,number of strong external ties (ties with community members outside the borrowing group embedding valuable resources) shared with another group member,Number of individuals outside the group from which the individual could borrow a small amount of money,Number of individuals outside the group from which the individual could borrow a large amount of money,Number of individuals outside the group who could take care of the borrower's kids or house if she is sick or away for some time,"1 if the group borrower is part of any other formal network (except Pro Mujer), 0 otherwise","1 if the group borrower is part of any informal network, 0 otherwise",The number of strong internal ties of borrower i,"Importance of access to future credit from Pro Mujer: 1= Very important, 5= Not important at all","1 = Urban area, 0 = Rural area","1 = No education; 2 = Primary school, 3 = Secondary school, 4 = Preparatory/Vocational; 5 = University degree; 6 = Postgraduate",Number of household members having a fixed income,Borrower's weekly income,"Have you received remittances during the last 12 months? 1 = Yes, 0 = No",Net loan amount received by the whole group,Number of installments/payments in which the group loan will be repaid,Number of members in the group,,,,,,,,,,,,,
"(Wydick, 1999)",Wydick_1999_09,Logisitic regression,1 if group has average arrears of < 3 days per loan and no loans in arrears > 7 days,"A group received a dummy variable equal to one if they were by FUNDAP's own criteria, a `problem-free' group. These groups had never been more than seven days late with any loan, and had average arrears of less than three days per loan. ",1,2,1 if willingness to pressure others to repay,Used as a measure of group pressure,0,1,1,0.367,0.41,>0.1,NA,NA,0,0.367,ns,15,0.75,NA,3.291,medium,1 if group consists of either all men or all women.,Number of years members acquainted before group,1 if all members say all were friends before group,1 if members partake in joint social activities,1 if members feel applying sanctions dif®cult,Number of members in borrowing group,1 if state moral obligation to repay group loan,1 if say repay to stay on good terms with group,Average distance in kilometers between members' businesses,1 if members know weekly sales of other members,1 if members engaged in same line of business,1 if at least one member has other credit access,Number of months in term of group loan,Number of years since borrowing group took first group loan,,,,,,,,,,,,,,,,
Hung_2003,Hung_2003_M1,Logisitic regression,1 for group delinquency,Delinquency is not paying a loan repayment installment on time according to a predetermined schedule... Peer groups were coded for whether they had experienced loan delinquency or default but not for the frequency of occurrence,1,2,High costs of nonpayment and benefits of repayment,,1,1,1,2.24,NA,>0.1,,,1,-2.24,ns,12,0.41,NA,5,medium,Group age in months,Overall screening,Peer minus staff screening,Overall monitoring,Peer minus staff monitoring,Urban,Average credit risk of members in the same group,Percentage of women in a group,Homogeneity within a group,Group members' prior experience times number of years in business,Groups per staff,,,,,,,,,,,,,,,,,,,
"Kono, H, 2013",Kono_2013_M1,Logistic regression,1 if borrower chooses not to repay despite sufficient investment returns,we randomly assigned investment returns in order to exclude moral hazard and only focus on strategic defaults,1,1,Punishment treatment: 3 million point punishment,"After observing (g, r, d) at the end of the round, subjects could choose to penalize any members without any costs. If more than one members agree to penalize a certain member, say k, then a penalty of either 1.5 or 3 million points was subtracted from the final amount awarded to subject k... at 3 million, the punishment level is equal to the repayment amount",0,1,1,-0.881,0.364,<0.05,,,1,0.881,positive,9,0.53,29.64,4,medium,JL w/ 1.5mil punish,JL,IL w/ transfer ,JL w/ cross-report,Return unobservable,Decision unobservable ,Return,Return 2,,,,,,,,,,,,,,,,,,,,,,
"Sandar, TM and Charoenloet, V and Sriwichailamphan, T, 2010",SandarCS_2010_M1,Logistic regression,"1, if the borrower had bad repayment history",Borrower has any history of late repayment or default,1,1,1 if the group does not have social pressure against late repayment and default,,0,1,1,1.54,0.54,0.004,,,0,1.54,positive,31,0.02,42,5,high,1 if the borrower is female,1 if the member’s home is far from the rest of the member,1 if borrower age is between 20 to 40 year,1 if borrower is married,1 if the number of family members is 5 to 8,1 if six to ten family members are age between 15 to 45year,1 if the number of children in school are 5 to 8,1 if the number of workers in family is 5 to 8,1 if the number of dependency in family 5 to 8,1 if the borrower’s occupation is seller or street vendor,1 if the borrower’s occupation is animal breeding,1 if the household head’s occupation is seller or street vendor,1 if the household head is an employee of a company or NGOs,1 if the family’s 1st priority business is animal breeding,1 if the family’s 2nd priority business is a business or grocery shop,"1 if the family’s monthly income is 80,001 to 150,000(kyat)","1 if the family’s monthly expenditure is 80,001 to 150,000 (kyat)",1 if the borrower’s education is primary level,1 if the borrower has more than three years experiences,1 if the borrower borrowed between one to five times,"1 if the loan amount is under 100,000 kyat",1 if the member lives in the same ward with the rest of the members,1 if the member owns land and a house,1 if the borrower or her family’s health problem affected them to be a bad borrower,the amount of the loan that is used for business investment (kyat),1 if the group has norms for evaluating each other,1 if the borrower used 100 percentage of loan in the business,1 if group members have strong guarantee for loan default,1 if group members are willing to recognize for accepting new member or next higher loan,1 if the borrower has an outside loan
"Sangwan, S and Nayak, NC and Samanta, D, 2020",SangwanNS_2020_M1,Logistic regression,1 if borrower is delinquent,The study measures borrowers� repayment behavior considering their loan delinquency for a period of 30 days. A borrower is expected to make the repayment as per the prescribed schedule. The loan delinquency arises when the scheduled repayments are delayed. A borrower is designated as loan delinquent if s/he misses the installments for a period of 1 month or repays the same by resorting to borrowing,1,1,"Do you have the feeling that you might be socially sanctioned in case of failure to repay the loan? (No = 1, Yes = 0)",,,1,1,0.261,0.54,>0.1,,,0,0.261,ns,21,0,33.37,NA,medium,"Does MFI staff supervise the loan utilization, economic activities of the household (No = 1, Yes = 0)","Do you attempt to know or monitor the loan utilization of the other members? (No = 1, Yes = 0)",Index based upon total household asset measured assigning relative weights to household items (weights are allotted on basis of asset probable market price),Ratio of family size to economically independent,"Primary occupation of borrower:  Non-Agriculture = 1, Agriculture = 0",Average age of family adult members,Square of average age of family adult members,Mode year of schooling attained in a family,Male members (age 60 > 14),"Do the borrower exhibits regular saving behavior (Yes = 1, No = 0)",Years of availing loans (MFI or SHG),Average interest rates,"Rapyment period: Fixed = 1, Flexible = 0",Natural log of total loan outstanding,Percentage of loan diverted from intended income generating activity,Group cohesiveness index,"Do you feel responsible to repayments of the other members of your group? (No = 1, Yes = 0)","Settlement type: Urban = 1, Rural = 0","Borrower state: West Bengal = 0, Odisha = 1",,,,,,,,,,,
